# Copyright (C) 1991-2006 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 6.1 Build 201 11/27/2006 SJ Web Edition
# File: C:\Documents and Settings\ja_rd\Escritorio\light8080\vhdl\demo\c2sb_demo.csv
# Generated on: Sun Nov 04 23:24:25 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
addr_out[15],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[14],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[13],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[12],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[11],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[10],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[9],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[8],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[7],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[6],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[5],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[4],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[3],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[2],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[1],Output,,,,3.3-V LVTTL,,addr_out[15..0]
addr_out[0],Output,,,,3.3-V LVTTL,,addr_out[15..0]
clk,Input,PIN_L1,2,B2_N1,3.3-V LVTTL,,
data_in[7],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[6],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[5],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[4],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[3],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[2],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[1],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_in[0],Input,,,,3.3-V LVTTL,,data_in[7..0]
data_out[7],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[6],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[5],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[4],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[3],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[2],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[1],Output,,,,3.3-V LVTTL,,data_out[7..0]
data_out[0],Output,,,,3.3-V LVTTL,,data_out[7..0]
halt,Output,,,,3.3-V LVTTL,,
inta,Output,,,,3.3-V LVTTL,,
inte,Output,,,,3.3-V LVTTL,,
intr,Input,,,,3.3-V LVTTL,,
io,Output,,,,3.3-V LVTTL,,
rd,Output,,,,3.3-V LVTTL,,
reset,Input,,,,3.3-V LVTTL,,
vma,Output,,,,3.3-V LVTTL,,
wr,Output,,,,3.3-V LVTTL,,
hex0[0],Unknown,PIN_J2,2,B2_N1,3.3-V LVTTL,,
hex0[1],Unknown,PIN_J1,2,B2_N1,3.3-V LVTTL,,
hex0[2],Unknown,PIN_H2,2,B2_N1,3.3-V LVTTL,,
hex0[3],Unknown,PIN_H1,2,B2_N1,3.3-V LVTTL,,
hex0[4],Unknown,PIN_F2,2,B2_N1,3.3-V LVTTL,,
hex0[5],Unknown,PIN_F1,2,B2_N1,3.3-V LVTTL,,
hex0[6],Unknown,PIN_E2,2,B2_N1,3.3-V LVTTL,,
hex1[0],Unknown,PIN_E1,2,B2_N1,3.3-V LVTTL,,
hex1[1],Unknown,PIN_H6,2,B2_N0,3.3-V LVTTL,,
hex1[2],Unknown,PIN_H5,2,B2_N0,3.3-V LVTTL,,
hex1[3],Unknown,PIN_H4,2,B2_N0,3.3-V LVTTL,,
hex1[4],Unknown,PIN_G3,2,B2_N0,3.3-V LVTTL,,
hex1[5],Unknown,PIN_D2,2,B2_N0,3.3-V LVTTL,,
hex1[6],Unknown,PIN_D1,2,B2_N0,3.3-V LVTTL,,
hex2[0],Unknown,PIN_G5,2,B2_N0,3.3-V LVTTL,,
hex2[1],Unknown,PIN_G6,2,B2_N0,3.3-V LVTTL,,
hex2[2],Unknown,PIN_C2,2,B2_N0,3.3-V LVTTL,,
hex2[3],Unknown,PIN_C1,2,B2_N0,3.3-V LVTTL,,
hex2[4],Unknown,PIN_E3,2,B2_N0,3.3-V LVTTL,,
